venda_id,cliente_id,produto_id,quantidade,valor_total,data_venda
1,12,14,3,357.00,2024-11-05 12:51:00
2,2,12,4,359.60,2024-10-01 09:59:00
3,13,2,5,649.50,2024-05-30 18:39:00
4,12,10,2,439.80,2024-12-26 09:02:00
5,8,13,3,477.00,2024-02-10 11:55:00
6,4,7,3,9897.00,2024-08-20 18:53:00
7,12,3,3,1049.70,2024-06-30 11:42:00
8,9,12,1,89.90,2024-11-07 18:10:00
9,18,12,2,179.80,2024-03-24 15:24:00
10,9,15,5,8995.00,2024-04-22 18:20:00
11,2,4,1,1899.00,2024-06-10 14:17:00
12,3,4,5,9495.00,2024-06-10 11:41:00
13,16,7,4,13196.00,2024-03-14 12:08:00
14,8,12,5,449.50,2024-10-02 12:47:00
15,19,7,5,16495.00,2024-07-23 13:14:00
16,5,9,4,1836.00,2024-02-16 08:55:00
17,4,3,2,699.80,2024-12-14 14:38:00
18,3,7,4,13196.00,2024-11-01 15:33:00
19,9,9,1,459.00,2024-12-14 19:07:00
20,18,13,3,477.00,2024-11-24 13:07:00
21,10,7,2,6598.00,2024-08-20 08:46:00
22,9,9,2,918.00,2024-09-16 09:55:00
23,10,14,5,595.00,2024-11-07 11:09:00
24,12,13,2,318.00,2024-10-03 16:58:00
25,1,10,3,659.70,2024-09-07 08:07:00
26,12,15,3,5397.00,2024-05-02 08:15:00
27,19,2,1,129.90,2024-09-05 09:48:00
28,18,13,2,318.00,2024-03-06 18:30:00
29,18,3,3,1049.70,2024-09-27 17:27:00
30,7,15,5,8995.00,2024-12-19 11:45:00
31,10,7,3,9897.00,2024-08-12 16:28:00
32,4,4,2,3798.00,2024-02-02 13:01:00
33,19,9,2,918.00,2024-10-28 11:00:00
34,3,12,1,89.90,2024-04-27 09:57:00
35,2,14,3,357.00,2024-02-06 16:15:00
36,9,11,4,2196.00,2024-04-19 16:08:00
37,19,10,4,879.60,2024-05-04 15:51:00
38,14,4,1,1899.00,2024-02-19 18:27:00
39,12,7,4,13196.00,2024-08-27 19:03:00
40,4,1,4,21999.60,2024-06-22 09:15:00
41,7,4,5,9495.00,2024-08-17 10:27:00
42,6,5,4,5160.00,2024-05-07 09:28:00
43,18,2,1,129.90,2024-11-29 16:53:00
44,1,2,2,259.80,2024-03-26 14:31:00
45,16,4,4,7596.00,2024-01-31 10:24:00
46,1,7,3,9897.00,2024-08-20 12:27:00
47,18,11,4,2196.00,2024-03-20 11:18:00
48,7,1,5,27499.50,2024-10-04 08:47:00
49,11,1,1,5499.90,2024-10-26 15:32:00
50,17,3,1,349.90,2024-09-17 09:54:00
51,6,2,5,649.50,2024-02-04 18:55:00
52,8,7,1,3299.00,2024-10-18 11:37:00
53,20,1,5,27499.50,2024-02-11 14:42:00
54,19,10,5,1099.50,2024-06-10 12:13:00
55,11,4,3,5697.00,2024-07-21 10:42:00
56,10,8,3,899.70,2024-02-07 08:29:00
57,20,10,1,219.90,2024-02-07 16:13:00
58,17,5,2,2580.00,2024-06-27 09:56:00
59,8,6,3,2697.00,2024-03-21 15:53:00
60,18,12,3,269.70,2024-11-09 18:33:00
61,1,11,5,2745.00,2024-06-02 18:06:00
62,5,5,1,1290.00,2024-02-24 19:35:00
63,5,5,3,3870.00,2024-11-05 11:45:00
64,11,4,3,5697.00,2024-09-15 15:16:00
65,2,2,4,519.60,2024-05-21 08:00:00
66,11,13,2,318.00,2024-11-22 12:10:00
67,15,9,4,1836.00,2024-10-14 08:07:00
68,3,15,2,3598.00,2024-10-06 08:53:00
69,12,10,5,1099.50,2024-03-16 14:08:00
70,2,5,3,3870.00,2024-01-21 13:13:00
71,8,11,1,549.00,2024-06-30 16:56:00
72,14,10,2,439.80,2024-05-01 10:51:00
73,6,15,4,7196.00,2024-01-13 10:47:00
74,11,13,4,636.00,2024-12-08 19:51:00
75,8,5,2,2580.00,2024-12-25 09:24:00
76,2,14,4,476.00,2024-04-23 11:52:00
77,15,6,3,2697.00,2024-04-26 11:01:00
78,7,7,3,9897.00,2024-05-22 09:49:00
79,9,6,5,4495.00,2024-07-23 18:53:00
80,18,6,1,899.00,2024-02-29 12:11:00
81,19,5,1,1290.00,2024-02-25 17:27:00
82,12,12,3,269.70,2024-08-11 17:32:00
83,4,7,5,16495.00,2024-04-07 12:02:00
84,14,1,5,27499.50,2024-10-02 18:46:00
85,7,6,4,3596.00,2024-02-05 18:58:00
86,11,10,3,659.70,2024-12-05 09:46:00
87,10,9,3,1377.00,2024-12-07 14:20:00
88,13,12,3,269.70,2024-10-10 10:12:00
89,14,11,4,2196.00,2024-12-12 19:57:00
90,6,10,5,1099.50,2024-06-03 14:35:00
91,1,5,3,3870.00,2024-04-17 14:50:00
92,19,10,3,659.70,2024-08-26 15:28:00
93,7,9,4,1836.00,2024-03-27 18:05:00
94,10,9,5,2295.00,2024-06-20 09:52:00
95,8,11,3,1647.00,2024-04-25 11:09:00
96,1,1,2,10999.80,2024-08-31 17:54:00
97,3,8,4,1199.60,2024-11-18 17:12:00
98,13,8,4,1199.60,2024-05-04 10:41:00
99,1,15,1,1799.00,2024-08-05 11:11:00
100,17,8,1,299.90,2024-10-12 11:58:00
101,4,8,2,599.80,2024-08-25 18:33:00
102,18,10,3,659.70,2024-08-14 17:52:00
103,17,7,5,16495.00,2024-08-16 10:47:00
104,16,8,3,899.70,2024-05-06 18:17:00
